no_service,tanggal,no_pelanggan,no_polisi,mekanik1,mekanik2,mekanik3,mekanik4,biayam1,biayam2,biayam3,biayam4,km_sekarang,km_berikut,total_waktu,status,keterangan,subtotal_jasa,subtotal_item,subtotal,diskon,total_diskon,pajak,total_pajak,total_akhir,pembayaran,user_input,id_tabel,no_baris,no_item,waktu,harga,potongan,total,kd_cabang,tanggal_data
SV20000001097,2020-04-05 08:32:54,G 2497 ADF,G 2497 ADF,002,,,,100,0,0,0,0,0,45,3,NRANDET2,0,43000,43000,0,0,0,0,43000,43000,maprikha,20000001097,1,SVS0007,45,15000,100,0,PESALAKAN,2026-05-24 00:00:00
SV20000001098,2020-04-05 09:47:26,G 5446 AJF,G 5446 AJF,015,017,,,50,50,0,0,9221,11221,145,3,1.SERVIS STANDAR + CVT 2.GANTI OLI MESIN DAN OLI GEAR 3.REM DEPAN TERLALU KENCENG,85000,132500,217500,0,0,0,0,217500,220000,maprikha,20000001098,1,SVS0001,120,70000,0,70000,PESALAKAN,2026-05-24 00:00:00
