
=== Sheet: Get External ===
No data found in this sheet.

=== Sheet: STOK PACUL ===
Data starts at row 1
R1: NoItemCOPY | RakBarang | NoItem | NamaItem | Quantity | NOTE | STS | SO+BR DTG | CATATAN |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R12: 01-D24-001-00AA | BODYPART | 01-D24-001-00AA | MIKA LAMPU DEPAN Y.MIO/KACA LAMPU DEPAN MIO | 1 |  |  | F:=E12+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C12,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R13: 06141-GN5-505 | NOSTOK | 06141-GN5-505 | RANTE KETENG SUPRA X | 0 |  |  | F:=E13+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C13,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R14: 06141-KRS-505 | NOSTOK | 06141-KRS-505 | KETENG SET SUPRAFIT NEW | 0 |  |  | F:=E14+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C14,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R15: 06141-KWB-505 | NOSTOK | 06141-KWB-505 | RANTE KETENG SET REVO 110 ABSOLUTE | 0 |  |  | F:=E15+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C15,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R16: 061B1-KEH-002 | NOSTOK | 061B1-KEH-002 | FULLSET TIGER/NEOTECH/MEGA PRO (PRIMUS) - GASKET KIT B | 0 |  |  | F:=E16+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C16,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R17: 06381-KEV-880 | NOSTOK | 06381-KEV-880 | STANG SEHER H.SUPRA X | 0 |  |  | F:=E17+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C17,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R18: 06381-KPH-900 | NOSTOK | 06381-KPH-900 | STANG SEHER H.KARISMA | 0 |  |  | F:=E18+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C18,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R19: 06381-KVB-930 | NOSTOK | 06381-KVB-930 | STANG SEHER H.SUPRA X 125 HELM IN ORI | 0 |  |  | F:=E19+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C19,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R20: 06381-KVY-960 | NOSTOK | 06381-KVY-960 | STANG SEHER H.BEAT AHM | 0 |  |  | F:=E20+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C20,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R21: 06381-KWW-920 | NOSTOK | 06381-KWW-920 | STANG SEHER H.REVO FI AHM | 0 |  |  | F:=E21+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C21,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
