RECONSTRUCTED EXCEL CONTENT FROM SHEET20 (PO SUPPLIER)
R1: A1: STS | B1: PACUL
R2: A2: RakBarang | B2: (Multiple Items)
R4: A4: NoItem | B4: NamaItem | C4: STATUS | D4: DI NOSTOK
R36: A36: 23100-K2S-N01 | B36: FANBELT H.VARIO 160 ORI | C36: D | D36: F:IFERROR(VLOOKUP(A36,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R37: A37: 23100-K97-T01 | B37: FANBELT H.PCX/ADV AHM | C37: D | D37: F:IFERROR(VLOOKUP(A37,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R38: A38: 23100-KVB-901 | B38: FANBELT H.VARIO 110 CARBU ORI | C38: D | D38: F:IFERROR(VLOOKUP(A38,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R39: A39: 23225-KSY-900 | B39: PEN PULLY/PIN PEN BEAT/VARIO/SCOOPY AHM | C39: D | D39: F:IFERROR(VLOOKUP(A39,'NOSTOK PACUL'!A:C,3,0),0) (=E)
R40: A40: 23226-KVB-900 | B40: BOS PEN PULLY/PIN PEN BEAT/VARIO/SCOOPY/SPACY | C40: D | D40: F:IFERROR(VLOOKUP(A40,'NOSTOK PACUL'!A:C,3,0),0) (=E)
R41: A41: 23237-K35-V00 | B41: CORONG PULLY H.BEAT LED NEW | C41: D | D41: F:IFERROR(VLOOKUP(A41,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R42: A42: 2DP-E7465-00 | B42: SEAL PULLY / SIL PULLY Y.NMAX ORI | C42: D | D42: F:IFERROR(VLOOKUP(A42,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R43: A43: 2DP-E7465-10 | B43: ORING PULLY Y.NMAX ORI | C43: D | D43: F:IFERROR(VLOOKUP(A43,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R44: A44: 2DP-E7611-00 | B44: KIPAS PULLY Y. NMAX/AEROX 155 | C44: D | D44: F:IFERROR(VLOOKUP(A44,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R45: A45: 2DP-E7620-00 | B45: RUMAH ROLLER Y.NMAX ORI | C45: D | D45: F:IFERROR(VLOOKUP(A45,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R46: A46: 2DP-E7641-00 | B46: FANBELT Y.NMAX ORI | C46: D | D46: F:IFERROR(VLOOKUP(A46,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R47: A47: 2DP-E7674-00 | B47: BOSH PULLY Y.NMAX / AEROX ORI | C47: D | D47: F:IFERROR(VLOOKUP(A47,'NOSTOK PACUL'!A:C,3,0),0) (=0)
